frame;rangeResMag;bearingResMag;rangeResClr;height;width
258;0.036875;0.180528;0.036875;750;256
259;0.036875;0.180528;0.036875;750;256
260;0.036875;0.180528;0.036875;750;256
261;0.036875;0.180528;0.036875;750;256
262;0.036875;0.180528;0.036875;750;256
263;0.036875;0.180528;0.036875;750;256
264;0.036875;0.180528;0.036875;750;256
265;0.036875;0.180528;0.036875;750;256
266;0.036875;0.180528;0.036875;750;256
267;0.036875;0.180528;0.036875;750;256
268;0.036875;0.180528;0.036875;750;256
269;0.036875;0.180528;0.036875;750;256
270;0.036875;0.180528;0.036875;750;256
271;0.036875;0.180528;0.036875;750;256
272;0.036875;0.180528;0.036875;750;256
273;0.036875;0.180528;0.036875;750;256
274;0.036875;0.180528;0.036875;750;256
275;0.036875;0.180528;0.036875;750;256
276;0.036875;0.180528;0.036875;750;256
277;0.036875;0.180528;0.036875;750;256
278;0.036875;0.180528;0.036875;750;256
279;0.036875;0.180528;0.036875;750;256
280;0.036875;0.180528;0.036875;750;256
281;0.036875;0.180528;0.036875;750;256
282;0.036875;0.180528;0.036875;750;256
283;0.036875;0.180528;0.036875;750;256
284;0.036875;0.180528;0.036875;750;256
285;0.036875;0.180528;0.036875;750;256
286;0.036875;0.180528;0.036875;750;256
287;0.036875;0.180528;0.036875;750;256
288;0.036875;0.180528;0.036875;750;256
289;0.036875;0.180528;0.036875;750;256
290;0.036875;0.180528;0.036875;750;256
291;0.036875;0.180528;0.036875;750;256
292;0.036875;0.180528;0.036875;750;256
293;0.036875;0.180528;0.036875;750;256
294;0.036875;0.180528;0.036875;750;256
295;0.036875;0.180528;0.036875;750;256
296;0.036875;0.180528;0.036875;750;256
297;0.036875;0.180528;0.036875;750;256
298;0.036875;0.180528;0.036875;750;256
299;0.036875;0.180528;0.036875;750;256
300;0.036875;0.180528;0.036875;750;256
301;0.036875;0.180528;0.036875;750;256
302;0.036875;0.180528;0.036875;750;256
303;0.036875;0.180528;0.036875;750;256
304;0.036875;0.180528;0.036875;750;256
305;0.036875;0.180528;0.036875;750;256
306;0.036875;0.180528;0.036875;750;256
307;0.036875;0.180528;0.036875;750;256
308;0.036875;0.180528;0.036875;750;256
309;0.036875;0.180528;0.036875;750;256
310;0.036875;0.180528;0.036875;750;256
311;0.036875;0.180528;0.036875;750;256
312;0.036875;0.180528;0.036875;750;256
313;0.036875;0.180528;0.036875;750;256
314;0.036875;0.180528;0.036875;750;256
315;0.036875;0.180528;0.036875;750;256
316;0.036875;0.180528;0.036875;750;256
317;0.036875;0.180528;0.036875;750;256
318;0.036875;0.180528;0.036875;750;256
319;0.036875;0.180528;0.036875;750;256
320;0.036875;0.180528;0.036875;750;256
321;0.036875;0.180528;0.036875;750;256
322;0.036875;0.180528;0.036875;750;256
323;0.036875;0.180528;0.036875;750;256
324;0.036875;0.180528;0.036875;750;256
325;0.036875;0.180528;0.036875;750;256
326;0.036875;0.180528;0.036875;750;256
327;0.036875;0.180528;0.036875;750;256
328;0.036875;0.180528;0.036875;750;256
329;0.036875;0.180528;0.036875;750;256
330;0.036875;0.180528;0.036875;750;256
331;0.036875;0.180528;0.036875;750;256
332;0.036875;0.180528;0.036875;750;256
333;0.036875;0.180528;0.036875;750;256
334;0.036875;0.180528;0.036875;750;256
335;0.036875;0.180528;0.036875;750;256
336;0.036875;0.180528;0.036875;750;256
337;0.036875;0.180528;0.036875;750;256
338;0.036875;0.180528;0.036875;750;256
339;0.036875;0.180528;0.036875;750;256
340;0.036875;0.180528;0.036875;750;256
341;0.036875;0.180528;0.036875;750;256
342;0.036875;0.180528;0.036875;750;256
343;0.036875;0.180528;0.036875;750;256
344;0.036875;0.180528;0.036875;750;256
345;0.036875;0.180528;0.036875;750;256
346;0.036875;0.180528;0.036875;750;256
